cas	inchi	inchikey	smiles	formula	definition	checked	alw_cname	che_cname	che_id	chl_id	chs_id	drb_id	eea_cname	ein_id	etx_cname	etx_id	ipc_name	puc_cid	wid_cname	wid_id	zvg_id	uni_id
7758-19-2	InChI=1S/ClHO2.Na/c2-1-3;/h(H,2,3);/q;+1/p-1	UKLNMMHNWFDKNT-UHFFFAOYSA-M	[O-]Cl=O.[Na+]	ClNaO2	An inorganic sodium salt in which chlorite is the counterion.			sodium chlorite	CHEBI:78667									23668197				
7758-23-8								calcium bis(dihydrogenphosphate)	CHEBI:35433		21270233											
7758-29-4	InChI=1S/5Na.H5O10P3/c;;;;;1-11(2,3)9-13(7,8)10-12(4,5)6/h;;;;;(H,7,8)(H2,1,2,3)(H2,4,5,6)/q5*+1;/p-5	HWGNBUXHKFFFIH-UHFFFAOYSA-I	[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]	Na5O10P3							22863							24455				
7758-87-4	InChI=1S/3Ca.2H3O4P/c;;;2*1-5(2,3)4/h;;;2*(H3,1,2,3,4)/q3*+2;;/p-6	QORWJWZARLRLPR-UHFFFAOYSA-H	[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]	Ca3O8P2				tricalcium bis(phosphate)	CHEBI:9679		22864							24456				
7758-89-6	InChI=1S/ClH.Cu/h1H;/q;+1/p-1	OXBLHERUFWYNTN-UHFFFAOYSA-M	Cl[Cu]	ClCu	An inorganic chloride of copper in which the metal is in the +1 oxidation state.			copper(I) chloride	CHEBI:53472		56403			231-842-9				62652	cuprous chloride	Q423879	3280	C955P95064
7758-94-3	InChI=1S/2ClH.Fe/h2*1H;/q;;+2/p-2	NMCUIPGRVMDVDB-UHFFFAOYSA-L	Cl[Fe]Cl	Cl2Fe				iron dichloride	CHEBI:30812		22866							24458				
7758-95-4	InChI=1S/2ClH.Pb/h2*1H;/q;;+2/p-2	HWSZZLVAJGOAAY-UHFFFAOYSA-L	Cl[Pb]Cl	Cl2Pb	An inorganic chloride consisting of two chlorine atoms covalently bound to a central lead atom.			lead(II) chloride	CHEBI:88212		24770853							24459				
7758-97-6					A chromium coordination entity comprising chromate and lead(2+) ions in a 1:1 ratio			lead chromate	CHEBI:86257													
7758-98-7	InChI=1S/Cu.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2	ARUVKPQLZAKDPS-UHFFFAOYSA-L	[O-]S(=O)(=O)[O-].[Cu+2]	CuO4S	A metal sulfate compound having copper(2+) as the metal ion.		copper sulfate	copper(II) sulfate	CHEBI:23414		22870							24462				
7758-99-8					The pentahydrate of copper(2+) sulfate. A bright blue crystalline solid.			copper(II) sulfate pentahydrate	CHEBI:31440													
7759-02-06																						
776-34-1	InChI=1S/C10H8N2O2/c11-9-5-6-10(12(13)14)8-4-2-1-3-7(8)9/h1-6H,11H2	BVPJPRYNQHAOPQ-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=CC=C2[N+](=O)[O-])N	C10H8N2O2							12514			212-277-7				13057	4-Nitro-1-naphthylamine	Q72495051		
776-35-2	InChI=1S/C14H12/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-8H,9-10H2	XXPBFNVKTVJZKF-UHFFFAOYSA-N	C1CC2=CC=CC=C2C3=CC=CC=C31	C14H12						CHEMBL2407181	12515			212-278-2				13058	9,10-dihydrophenanthrene	Q27274840		BRM9TU2F34
7761-88-8								silver(1+) nitrate	CHEBI:32130													
77621-86-4																						
7764-50-3	InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3	AZOCECCLWFDTAP-UHFFFAOYSA-N	CC1CCC(CC1=O)C(=C)C	C10H16O	A dihydrocarvone resulting from reduction of the endocyclic cyclohexene double bond.			dihydrocarvone	CHEBI:23733		22881			231-857-0				24473	dihydrocarvone	Q27109809		YQS5CW1O1J
77691-51-1																						
777-57-1	InChI=1S/C11H14O3/c1-7-4-8(2)6-10(5-7)14-9(3)11(12)13/h4-6,9H,1-3H3,(H,12,13)	HABNTEYLRKTXHN-UHFFFAOYSA-N	CC1=CC(=CC(=C1)OC(C)C(=O)O)C	C11H14O3							2416415							3164940	2-(3,5-dimethylphenoxy)propanoic acid	Q82187069		
7772-98-7	InChI=1S/2Na.H2O3S2/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2	AKHNMLFCWUSKQB-UHFFFAOYSA-L	[O-]S(=O)(=S)[O-].[Na+].[Na+]	Na2O3S2	An inorganic sodium salt composed of sodium and thiosulfate ions in a 2:1 ratio.			sodium thiosulfate	CHEBI:132112	CHEMBL2096650	22885			231-867-5				24477	sodium thiosulfate	Q339866	2480	L0IYT1O31N
7772-99-8	InChI=1S/2ClH.Sn/h2*1H;/q;;+2/p-2	AXZWODMDQAVCJE-UHFFFAOYSA-L	Cl[Sn]Cl	Cl2Sn	An inorganic chloride that has formula Cl2Sn.			tin(II) chloride (anhydrous)	CHEBI:78067									24479				
7773-01-05	InChI=1S/2ClH.Mn/h2*1H;/q;;+2/p-2	GLFNIEUTAYBVOC-UHFFFAOYSA-L	Cl[Mn]Cl	Cl2Mn	An inorganic chloride in which manganese(II) is coordinated to two chloride ions. In its anhydrous state manganese(II) chloride is a polymeric solid, which adopts a layered cadmium chloride-like structure.			manganese(II) chloride	CHEBI:63041									24480				
7773-03-07	InChI=1S/K.H2O3S/c;1-4(2)3/h;(H2,1,2,3)/q+1;/p-1	DJEHXEMURTVAOE-UHFFFAOYSA-M	OS(=O)[O-].[K+]	HKO3S							22889							23663620				
7773-06-0	InChI=1S/H3NO3S.H3N/c1-5(2,3)4;/h(H3,1,2,3,4);1H3	GEHMBYLTCISYNY-UHFFFAOYSA-N	[NH4+].NS(=O)(=O)[O-]	H6N2O3S			ammonium sulfamate	Ammonium sulfamate	CHEBI:81950		403385							24482				
7773-34-4								Diethylstilbestrol dimethyl ether	CHEBI:34701													
7773-56-0																						
12196-09-03	InChI=1S/C14H18N2O4/c1-10-5-4-6-11(2)13(10)16(12(17)9-19-3)15-7-8-20-14(15)18/h4-6H,7-9H2,1-3H3	UWVQIROCRJWDKL-UHFFFAOYSA-N	CC1=C(C(=CC=C1)C)N(C(=O)COC)N2CCOC2=O	C14H18N2O4	An oxazolidinone that is N-(2,6-dimethylphenyl)-2-methoxyacetamide in which the amide hydrogen is replaced by a 2-oxo-1,3-oxazolidin-3-yl group. A systemic fungicide used to treat seeds of a variety of food crops, as well as lawns.		oxadixyl	oxadixyl	CHEBI:81937	CHEMBL1864998	48518			616-492-0				53735	oxadixyl	Q19297826	530279	236CMA8A12
7774-29-0	InChI=1S/Hg.2HI/h;2*1H/q+2;;/p-2	YFDLHELOZYVNJE-UHFFFAOYSA-L	I[Hg]I	HgI2	A mercury coordination entity composed of mercury and iodine with formula HgI2.			mercury diiodide	CHEBI:49659									24485				
7775-09-09	InChI=1S/ClHO3.Na/c2-1(3)4;/h(H,2,3,4);/q;+1/p-1	YZHUMGUJCQRKBT-UHFFFAOYSA-M	[O-]Cl(=O)=O.[Na+]	ClNaO3	An inorganic sodium salt that has chlorate as the counter-ion. An oxidising agent, it is used for bleaching paper and as a herbicide. It is also used in the manufacture of dyes, explosives and matches.		sodium chlorate	sodium chlorate	CHEBI:65242									516902				
7775-11-03	InChI=1S/Cr.2Na.4O/q;2*+1;;;2*-1	PXLIDIMHPNPGMH-UHFFFAOYSA-N	[O-][Cr](=O)(=O)[O-].[Na+].[Na+]	CrNa2O4	An inorganic sodium salt consisting of sodium and chromate ions in a 2:1 ratio.			sodium chromate	CHEBI:78671									24488				
7775-14-6	InChI=1S/2Na.H2O4S2/c;;1-5(2)6(3)4/h;;(H,1,2)(H,3,4)/q2*+1;/p-2	JVBXVOWTABLYPX-UHFFFAOYSA-L	[O-]S(=O)S(=O)[O-].[Na+].[Na+]	Na2O4S2	An inorganic sodium salt that is the disodium salt of dithionous acid.			sodium dithionite	CHEBI:66870		22897							24489				
7775-19-1	InChI=1S/BO2.Na/c2-1-3;/q-1;+1	NVIFVTYDZMXWGX-UHFFFAOYSA-N	B(=O)[O-].[Na+]	BNaO2	An inorganic sodium salt having metaborate as the counterion.			sodium metaborate	CHEBI:75227		22899							145326				
7775-27-1	InChI=1S/2Na.H2O8S2/c;;1-9(2,3)7-8-10(4,5)6/h;;(H,1,2,3)(H,4,5,6)/q2*+1;/p-2	CHQMHPLRPQMAMX-UHFFFAOYSA-L	[O-]S(=O)(=O)OOS(=O)(=O)[O-].[Na+].[Na+]	Na2O8S2							56406							62655				
7775-41-9	InChI=1S/Ag.FH/h;1H/q+1;/p-1	REYHXKZHIMGNSE-UHFFFAOYSA-M	F[Ag]	AgF				silver monofluoride	CHEBI:30340		56407							62656				
77768-58-2	InChI=1S/C18H11ClN2OS/c19-15-9-5-4-8-13(15)17(22)14(10-20)18-21-16(11-23-18)12-6-2-1-3-7-12/h1-9,11,22H/b17-14-	OPSVQVIVTQDYBU-VKAVYKQESA-N	C1=CC=C(C=C1)C2=CSC(=N2)C(=C(C3=CC=CC=C3Cl)O)C#N	C18H11ClN2OS			thiapronil											135504570				
7778-18-9	InChI=1S/Ca.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2	OSGAYBCDTDRGGQ-UHFFFAOYSA-L	[O-]S(=O)(=O)[O-].[Ca+2]	CaO4S				calcium sulfate	CHEBI:31346		22905							24497				
7778-39-4					An arsenic oxoacid comprising one oxo group and three hydroxy groups attached to a central arsenic atom.			arsenic acid	CHEBI:18231													
7778-43-0	InChI=1S/AsH3O4.2Na/c2-1(3,4)5;;/h(H3,2,3,4,5);;/q;2*+1/p-2	IHZDYHDJAVUIBH-UHFFFAOYSA-L	O[As](=O)([O-])[O-].[Na+].[Na+]	AsHNa2O4	An inorganic sodium salt composed from sodium cations and arsenate dianions in a 2:1 ratio.			disodium hydrogenarsenate	CHEBI:91256		22684							24500				
7778-44-1							calcium arsenate	Calcium arsenate	CHEBI:81880		176521											
7778-49-6																						
7778-50-9					A potassium salt that is the dipotassium salt of dichromic acid.			potassium dichromate	CHEBI:53444													
7778-53-2	InChI=1S/3K.H3O4P/c;;;1-5(2,3)4/h;;;(H3,1,2,3,4)/q3*+1;/p-3	LWIHDJKSTIGBAC-UHFFFAOYSA-K	[O-]P(=O)([O-])[O-].[K+].[K+].[K+]	K3O4P							56408							62657				
7778-54-3	InChI=1S/Ca.2ClO/c;2*1-2/q+2;2*-1	ZKQDCIXGCQPQNV-UHFFFAOYSA-N	[O-]Cl.[O-]Cl.[Ca+2]	CaCl2O2				Calcium hypochlorite	CHEBI:31342									24504				
7778-70-3																						
7778-73-6																						
7778-74-7	InChI=1S/ClHO4.K/c2-1(3,4)5;/h(H,2,3,4,5);/q;+1/p-1	YLMGFJXSLBMXHK-UHFFFAOYSA-M	[O-]Cl(=O)(=O)=O.[K+]	ClKO4							22913							516900				
7778-77-0	InChI=1S/K.H3O4P/c;1-5(2,3)4/h;(H3,1,2,3,4)/q+1;/p-1	GNSKLFRGEWLPPA-UHFFFAOYSA-M	OP(=O)(O)[O-].[K+]	H2KO4P	A potassium salt in which dihydrogen phosphate(1-) is the counterion.			potassium dihydrogen phosphate	CHEBI:63036	CHEMBL1200925	22914	9413		231-913-4				516951	monobasic potassium phosphate	Q415049	4860	4J9FJ0HL51
7778-80-5	InChI=1S/2K.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2	OTYBMLCTZGSZBG-UHFFFAOYSA-L	[O-]S(=O)(=O)[O-].[K+].[K+]	K2O4S				potassium sulfate	CHEBI:32036		22915							24507				
7778-83-8	InChI=1S/C12H14O2/c1-2-10-14-12(13)9-8-11-6-4-3-5-7-11/h3-9H,2,10H2,1H3/b9-8+	OLLPXZHNCXACMM-CMDGGOBGSA-N	CCCOC(=O)C=CC1=CC=CC=C1	C12H14O2							4435547			231-916-0				5270647	Propyl cinnamate	Q72502677		
7779-27-3	InChI=1S/C9H21N3/c1-4-10-7-11(5-2)9-12(6-3)8-10/h4-9H2,1-3H3	XYRTVIAPRQLSOW-UHFFFAOYSA-N	CCN1CN(CN(C1)CC)CC	C9H21N3							22920							24512				
7779-77-3											22923											
7779-88-6	InChI=1S/2NO3.Zn/c2*2-1(3)4;/q2*-1;+2	ONDPHDOFVYQSGI-UHFFFAOYSA-N	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zn+2]	N2O6Zn							62816473							24518				
7779-90-0	InChI=1S/2H3O4P.3Zn/c2*1-5(2,3)4;;;/h2*(H3,1,2,3,4);;;/q;;3*+2/p-6	LRXTYHSAJDENHV-UHFFFAOYSA-H	[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Zn+2].[Zn+2].[Zn+2]	O8P2Zn3						CHEMBL2286756	22927			231-944-3				24519	zinc phosphate	Q59714	570278	1E2MCT2M62
778-18-7	InChI=1S/C12H18O3/c1-10(2)7(13)11(3,4)9(15)12(5,6)8(10)14/h1-6H3	DXLKLICKNIROHG-UHFFFAOYSA-N	CC1(C(=O)C(C(=O)C(C1=O)(C)C)(C)C)C	C12H18O3							120384							136617				
778-22-3											12521											
778-83-6	InChI=1S/C9H7Cl3O3/c1-4(9(13)14)15-8-6(11)2-5(10)3-7(8)12/h2-4H,1H3,(H,13,14)	HNDLJIIQWDVRRI-UHFFFAOYSA-N	CC(C(=O)O)OC1=C(C=C(C=C1Cl)Cl)Cl	C9H7Cl3O3							217530							248472				
7780-06-05	InChI=1S/C12H14O2/c1-10(2)14-12(13)9-8-11-6-4-3-5-7-11/h3-10H,1-2H3/b9-8+	RGACABDFLVLVCT-CMDGGOBGSA-N	CC(C)OC(=O)C=CC1=CC=CC=C1	C12H14O2							4437888			231-949-0				5273464	Isopropyl cinnamate	Q72485809		
7781-98-8	InChI=1S/C9H10O3/c1-2-12-9(11)7-4-3-5-8(10)6-7/h3-6,10H,2H2,1H3	MWSMNBYIEBRXAL-UHFFFAOYSA-N	CCOC(=O)C1=CC(=CC=C1)O	C9H10O3							21170129							24522				
7782-40-3					An allotropic form of the element carbon with cubic structure which is thermodynamically stable at pressures above 6 GPa at room temperature and metastable at atmospheric pressure. At low pressures diamond converts rapidly to graphite at temperatures above 1900 K in an inert atmosphere. The chemical bonding between the carbon atoms is covalent with sp(3) hybridization.			diamond	CHEBI:33417													
7782-42-5	InChI=1S/C	OKTJSMMVPCPJKN-UHFFFAOYSA-N	[C]	C	An allotropic form of the element carbon consisting of layers of hexagonally arranged carbon atoms in a planar condensed ring system (graphene layers). The layers are stacked parallel to each other in a three-dimensional crystalline long-range order. There are two allotropic forms with different stacking arrangements, hexagonal and rhombohedral. The chemical bonds within the layers are covalent with sp(2) hybridization and with a C--C distance of 141.7 pm. The weak bonds between the layers are metallic with a strength comparable to van der Waals bonding only.			graphite	CHEBI:33418		4575370							5462310	Graphite	Q1027984		
7782-50-5	InChI=1S/Cl2/c1-2	KZBUYRJDOAKODT-UHFFFAOYSA-N	ClCl	Cl2				dichlorine	CHEBI:29310		22933							24526	Chlorine	Q60943297		
7782-63-0	InChI=1S/Fe.H2O4S.7H2O/c;1-5(2,3)4;;;;;;;/h;(H2,1,2,3,4);7*1H2/q+2;;;;;;;;/p-2	SURQXAFEQWPFPV-UHFFFAOYSA-L	O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Fe+2]	FeH14O11S	A hydrate that is the heptahydrate form of iron(2+) sulfate. It is used as a source of iron in the treatment of iron-deficiency anaemia (generally in liquid-dosage treatments; for solid-dosage treatments, the monohydrate is normally used).			iron(2+) sulfate heptahydrate	CHEBI:75836		56413							62662				
7782-77-6	InChI=1S/HNO2/c2-1-3/h(H,2,3)	IOVCWXUNBOPUCH-UHFFFAOYSA-N	N(=O)O	HNO2				nitrous acid	CHEBI:25567	CHEMBL1161681	22936	9112		231-963-7				24529	nitrous acid	Q211891	5480	T2I5UM75DN
7782-79-8	InChI=1S/HN3/c1-3-2/h1H	JUINSXZKUKVTMD-UHFFFAOYSA-N	N=[N+]=[N-]	HN3				hydrogen azide	CHEBI:29449	CHEMBL186537	22937			231-965-8				24530	hydrogen azide	Q408925	570246	6P5C4D5D7I
7782-82-3	InChI=1S/Na.H2O3Se/c;1-4(2)3/h;(H2,1,2,3)/q+1;/p-1	OHYAUPVXSYITQV-UHFFFAOYSA-M	O[Se](=O)[O-].[Na+]	HNaO3Se							56414							23669629				
7782-86-7																						
7782-91-4	InChI=1S/Mo.2H2O.2O/h;2*1H2;;/q+2;;;;/p-2	VLAPMBHFAWRUQP-UHFFFAOYSA-L	O[Mo](=O)(=O)O	H2MoO4				molybdic acid	CHEBI:25371		74188			231-970-5				82208	molybdic acid	Q412950		I96N991J1N
7782-99-2	InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)	LSNNMFCWUKXFEE-UHFFFAOYSA-N	OS(=O)O	H2O3S				sulfurous acid	CHEBI:48854	CHEMBL1161699	1069			231-973-1				1100	sulfurous acid	Q206778	5670	J1P7893F4J
7783-00-8	InChI=1S/H2O3Se/c1-4(2)3/h(H2,1,2,3)	MCAHWIHFGHIESP-UHFFFAOYSA-N	O[Se](=O)O	H2O3Se				selenous acid	CHEBI:26642	CHEMBL2009089	1060	11127		231-974-7				1091	selenious acid	Q413722	5110	F6A27P4Q4R
7783-06-04	InChI=1S/H2S/h1H2	RWSOTUBLDIXVET-UHFFFAOYSA-N	S	H2S	A sulfur hydride consisting of a single sulfur atom bonded to two hydrogen atoms. A highly poisonous, flammable gas with a characteristic odour of rotten eggs, it is often produced by bacterial decomposition of organic matter in the absence of oxygen.			hydrogen sulfide	CHEBI:16136	CHEMBL1200739	391			231-977-3				402	hydrogen sulfide	Q170591	1130	YY9FVM7NSN
7783-07-05	InChI=1S/Se	BUGBHKTXTAQXES-UHFFFAOYSA-N	[Se]	Se				selane	CHEBI:16503									6326970				
7783-08-06	InChI=1S/H2O4Se/c1-5(2,3)4/h(H2,1,2,3,4)	QYHFIVBSNOWOCQ-UHFFFAOYSA-N	O[Se](=O)(=O)O	H2O4Se				selenic acid	CHEBI:18170	CHEMBL2097002	1058			231-979-4				1089	selenic acid	Q413349	500098	HV0Y51NC4J
7783-18-8	InChI=1S/2H3N.H2O3S2/c;;1-5(2,3)4/h2*1H3;(H2,1,2,3,4)	XYXNTHIYBIDHGM-UHFFFAOYSA-N	[NH4+].[NH4+].[O-]S(=O)(=S)[O-]	H8N2O3S2	An inorganic ammonium salt composed of ammonium and thiosulfate ions in a 2:1 ratio. It is used in the leaching of gold and silver, as a fertilizer and as a photographic fixing salt.			ammonium thiosulfate	CHEBI:147402									6096946				
7783-19-9	InChI=1S/2H3N.H2O3Se/c;;1-4(2)3/h2*1H3;(H2,1,2,3)	IBGIKQMUVKJVCW-UHFFFAOYSA-N	[NH4+].[NH4+].[O-][Se](=O)[O-]	H8N2O3Se														21284606				
7783-20-2	InChI=1S/2H3N.H2O4S/c;;1-5(2,3)4/h2*1H3;(H2,1,2,3,4)	BFNBIHQBYMNNAN-UHFFFAOYSA-N	[NH4+].[NH4+].[O-]S(=O)(=O)[O-]	H8N2O4S	An inorganic sulfate salt obtained by reaction of sulfuric acid with two equivalents of ammonia. A high-melting (decomposes above 280degreeC) white solid which is very soluble in water (70.6 g/100 g water at 0degreeC; 103.8 g/100 g water at 100degreeC), it is widely used as a fertilizer for alkaline soils.			ammonium sulfate	CHEBI:62946	CHEMBL2107724	22944			231-984-1				6097028	ammonium sulfate	Q191831	1470	SU46BAM238
7783-22-4	InChI=1S/2H3N.7O.2U/h2*1H3;;;;;;;;;/q;;7*-2;;/p+2	ZAASRHQPRFFWCS-UHFFFAOYSA-P	[NH4+].[NH4+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[U].[U]	H8N2O7U2-12														197096				
7783-28-0	InChI=1S/2H3N.H3O4P/c;;1-5(2,3)4/h2*1H3;(H3,1,2,3,4)	MNNHAPBLZZVQHP-UHFFFAOYSA-N	[NH4+].[NH4+].OP(=O)([O-])[O-]	H9N2O4P	An inorganic phosphate, being the diammonium salt of phosphoric acid.			diammonium hydrogen phosphate	CHEBI:63051	CHEMBL2105954	22946			231-987-8				24540	dibasic ammonium phosphate	Q418889	2110	10LGE70FSU
7783-35-9																						
7783-36-0																						
7783-64-4	InChI=1S/4FH.Zr/h4*1H;/q;;;;+4/p-4	OMQSJNWFFJOIMO-UHFFFAOYSA-J	[F-].[F-].[F-].[F-].[Zr+4]	F4Zr							10774925							10197871				
7783-71-3	InChI=1S/5FH.Ta/h5*1H;/q;;;;;+5/p-5	YRGLXIVYESZPLQ-UHFFFAOYSA-I	F[Ta](F)(F)(F)F	F5Ta							74198							82218				
7783-81-5								uranium hexafluoride	CHEBI:30235													
7783-85-9	InChI=1S/Fe.2H3N.2H2O4S.6H2O/c;;;2*1-5(2,3)4;;;;;;/h;2*1H3;2*(H2,1,2,3,4);6*1H2/q+2;;;;;;;;;;/p-2	MQLVWQSVRZVNIP-UHFFFAOYSA-L	[NH4+].[NH4+].O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Fe+2]	FeH20N2O14S2	A hydrate that is the hexahydrate form of ferrous ammonium sulfate. Acts as an iron ion donor for building Fe-S clusters in vitro.			ferrous ammonium sulfate hexahydrate	CHEBI:76181									15942308				
7783-90-6	InChI=1S/Ag.ClH/h;1H/q+1;/p-1	HKZLPVFGJNLROG-UHFFFAOYSA-M	Cl[Ag]	AgCl				silver monochloride	CHEBI:30341		22967			232-033-3				24561	silver chloride	Q216918	3740	MWB0804EO7
7783-95-1	InChI=1S/Ag.2FH/h;2*1H/q+2;;/p-2	KWVVTSALYXIJSS-UHFFFAOYSA-L	F[Ag]F	AgF2														82221				
7783-96-2	InChI=1S/Ag.HI/h;1H/q+1;/p-1	MSFPLIAKTHOCQP-UHFFFAOYSA-M	[Ag]I	AgI							22969			232-038-0				24563	silver iodide	Q19052	122731	81M6Z3D1XE
7784-18-1	InChI=1S/Al.3FH/h;3*1H/q+3;;;/p-3	KLZUFWVZNOTSEM-UHFFFAOYSA-K	F[Al](F)F	AlF3				aluminium trifluoride	CHEBI:49464									2124				
7784-25-0	InChI=1S/Al.H3N.2H2O4S/c;;2*1-5(2,3)4/h;1H3;2*(H2,1,2,3,4)/q+3;;;/p-3	LCQXXBOSCBRNNT-UHFFFAOYSA-K	[NH4+].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3]	AlH4NO8S2							62816491							3032540				
7784-30-7	InChI=1S/Al.H3O4P/c;1-5(2,3)4/h;(H3,1,2,3,4)/q+3;/p-3	ILRRQNADMUWWFW-UHFFFAOYSA-K	[O-]P(=O)([O-])[O-].[Al+3]	AlO4P							62816492							64655				
7784-31-8	InChI=1S/2Al.3H2O4S.18H2O/c;;3*1-5(2,3)4;;;;;;;;;;;;;;;;;;/h;;3*(H2,1,2,3,4);18*1H2/q2*+3;;;;;;;;;;;;;;;;;;;;;/p-6	AMVQGJHFDJVOOB-UHFFFAOYSA-H	O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3]	Al2H36O30S3	A hydrate resulting from the the formal combination of anhydrous aluminium sulfate with approximately 18 mol eq. of water. The commercial product usually contains 5-10% less water than theory. It is one of the commonest hydrates of aluminium sulfate.			aluminium sulfate octadecahydrate	CHEBI:74779		170695							22377415				
7784-33-0																						
7784-34-1	InChI=1S/AsCl3/c2-1(3)4	OEYOHULQRFXULB-UHFFFAOYSA-N	Cl[As](Cl)Cl	AsCl3	A arsenic molecular entity that consists of a single arsenic atom bearing three chloro substituents.			arsenic trichloride	CHEBI:63952		22974			232-059-5				24570	arsenic trichloride	Q411245	500007	5XW39M1300
7784-36-3								arsenic pentafluoride	CHEBI:30530													
7784-40-9	InChI=1S/AsH3O4.Pb/c2-1(3,4)5;/h(H3,2,3,4,5);/q;+2/p-2	UWRBYRMOUPAKLM-UHFFFAOYSA-L	O[As](=O)([O-])[O-].[Pb+2]	AsHO4Pb			lead arsenate	Lead arsenate	CHEBI:81881		22976							24572				
7784-41-0	InChI=1S/AsH3O4.K/c2-1(3,4)5;/h(H3,2,3,4,5);/q;+1/p-1	GVPLVOGUVQAPNJ-UHFFFAOYSA-M	O[As](=O)(O)[O-].[K+]	AsH2KO4							22977							516881				
7784-42-1	InChI=1S/AsH3/h1H3	RBFQJDQYXXHULB-UHFFFAOYSA-N	[AsH3]	AsH3				arsane	CHEBI:47217		22408							23969	Arsames	Q15632748		
7784-44-3	InChI=1S/AsH3O4.2H3N/c2-1(3,4)5;;/h(H3,2,3,4,5);2*1H3	XPVHUBFHKQQSDA-UHFFFAOYSA-N	[NH4+].[NH4+].O[As](=O)([O-])[O-]	AsH9N2O4														24574				
7784-45-4																						
7784-46-5	InChI=1S/AsHO2.Na/c2-1-3;/h(H,2,3);/q;+1/p-1	PTLRDCMBXHILCL-UHFFFAOYSA-M	[O-][As]=O.[Na+]	AsNaO2	An inoganic sodium salt with formula with formula NaAsO2.		sodium arsenite	sodium arsenite	CHEBI:29678									443495				
12312-08-09																			Sivar	Q16883391		
7785-21-9	InChI=1S/Mg.H3N.H3O4P/c;;1-5(2,3)4/h;1H3;(H3,1,2,3,4)/q+2;;/p-2	MXZRMHIULZDAKC-UHFFFAOYSA-L	[NH4+].[O-]P(=O)([O-])[O-].[Mg+2]	H4MgNO4P	An inorganic phosphate that is the ammonium magnesium salt of phosphoric acid.			ammonium magnesium phosphate	CHEBI:149425		155566							178727				
7785-23-1	InChI=1S/Ag.BrH/h;1H/q+1;/p-1	ADZWSOLPGZMUMY-UHFFFAOYSA-M	Br[Ag]	AgBr							59584							66199				
7785-26-4	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1	GRWFGVWFFZKLTI-IUCAKERBSA-N	CC1=CCC2CC1C2(C)C	C10H16				(-)-alpha-pinene	CHEBI:28660		389795							440968				
7785-53-7	InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3/t9-/m0/s1	WUOACPNHFRMFPN-VIFPVBQESA-N	CC1=CCC(CC1)C(C)(C)O	C10H18O	The (4R)-stereoiosmer of alpha-terpineol.			(R)-(+)-alpha-terpineol	CHEBI:300		10983			232-081-5				442501	(R)-(+)-alpha-terpineol	Q27105290		
7785-70-8	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1	GRWFGVWFFZKLTI-RKDXNWHRSA-N	CC1=CCC2CC1C2(C)C	C10H16	The (+)-enantiomer of alpha-pinene.			(+)-alpha-pinene	CHEBI:28261		74205							82227				
7785-87-7	InChI=1S/Mn.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2	SQQMAOCOWKFBNP-UHFFFAOYSA-L	[O-]S(=O)(=O)[O-].[Mn+2]	MnO4S	A metal sulfate in which the metal component is manganese in the +2 oxidation state.			manganese(II) sulfate	CHEBI:86360		22984							24580				
7785-88-8	InChI=1S/Al.Na.H3O4P/c;;1-5(2,3)4/h;;(H3,1,2,3,4)/q+3;+1;/p-3	GHHVYBBTKTVOPA-UHFFFAOYSA-K	[O-]P(=O)([O-])[O-].[Na+].[Al+3]	AlNaO4P+														3032541				
